name				left	top	width	height
enemy_explode_1			3	4	23	19	
enemy_explode_2			37	1	32	30
enemy_explode_3			88	6	53	48
enemy_explode_4			148	6	83	53
enemy_explode_5			235	4	87	54
enemy_explode_6			331	4	89	55
enemy_explode_7			434	10	43	39
enemy_explode_8			490	8	43	39
enemy_explode_9			548	7	40	37
GenieFace_explode_1		63	117	10	10		
GenieFace_explode_2		82	101	25	26
GenieFace_explode_3		119	93	33	34
GenieFace_explode_4		174	91	40	38
GenieFace_explode_5		234	88	55	55
GenieFace_explode_6		308	88	75	49
GenieFace_explode_7		405	85	104	58
GenieFace_explode_8		540	88	111	60
GenieFace_explode_9		16	164	119	63
GenieFace_explode_10		163	161	131	63
GenieFace_explode_11		317	167	55	47
GenieFace_explode_12		384	167	54	47
GenieFace_explode_13		452	159	55	55
GenieFace_explode_14		519	169	52	45
GenieFace_explode_15		577	182	52	32
GenieFace_explode_16		635	182	91	32
GenieFace_explode_17		740	182	61	32
apple_disappear_1		5	250	9	12
apple_disappear_2		20	249	13	15
apple_disappear_3		40	248	19	18
apple_disappear_4		66	249	22	21
apple_disappear_5		96	252	23	18
apple_disappear_6		129	252	21	15
apple_disappear_7		156	253	22	16
apple_disappear_8		188	251	22	15
apple_disappear_9		221	252	19	13
knife_explode_1			9	289	17	16
knife_explode_2			36	287	24	23
knife_explode_3			70	286	17	23
knife_explode_4			99	286	22	22
fireworks_1			5	336	75	72	
fireworks_2			92	339	75	67
fireworks_3			174	338	82	71
fireworks_4			273	338	83	73
fireworks_5			374	338	87	75
