name		left	top	right	bottom transitionx	transitiony
run_slash_1	12	2726	50	2783	0	0
run_slash_2	74	2724	128	2788	0	0
run_slash_3	166	2729	219	2787	0	0
run_slash_4	247	2728	298	2793	0	0
run_slash_5	332	2728	410	2793	0	0
run_slash_6	422	2736	486	2790	0	0
run_throw_1	8	2808	61	2863	0	0
run_throw_2	84	2810	124	2868	0	0
run_throw_3	150	2811	203	2868	0	0
run_throw_4	231	2809	292	2876	0	0
run_throw_5	311	2810	364	2877	0	0
run_throw_6	377	2812	415	2872	0	0
apple_01	373	24	380	31	0	0
apple_02	394	23	401	33	0	0
apple_03	414	18	434	36	0	0
apple_04	444	16	473	38	0	0
apple_05	485	14	516	39	0	0
apple_06	532	13	562	40	0	0
normal_01	2	1	39	57	0	0
normal_02	46	1	87	57	0	0
normal_03	94	1	134	57	0	0
normal_04	142	1	186	57	0	0
normal_05	196	1	232	57	0	0
normal_06	249	1	291	57	0	0
normal_07	302	1	346	57	0	0
run_01		13	1217	53	1271	0	0
run_02		65	1217	108	1271	0	0
run_03		119	1217	160	1271	0	0
run_04		170	1217	211	1271	0	0
run_05		219	1217	271	1271	0	0
run_06		278	1217	324	1271	0	0
run_07		333	1217	375	1271	0	0
run_08		385	1217	426	1271	0	0
run_09		439	1217	474	1271	0	0
run_10		487	1217	536	1271	0	0
run_11		546	1217	601	1271	0	0
run_12		610	1217	665	1271	0	0
run_13		678	1217	722	1271	0	0
jump_stand_01	7	844	66	887	0	0
jump_stand_02	74	826	126	888	0	0
jump_stand_03	136	827	190	888	0	0
jump_stand_04	202	822	256	891	0	0
jump_stand_05	268	818	319	892	0	0
jump_stand_06	335	827	373	893	0	0
jump_stand_07	389	816	424	895	0	0
jump_stand_08	447	806	481	899	0	0
jump_stand_09	503	808	537	901	0	0
jump_stand_10	563	810	597	903	0	0
jump_stand_11	14	899	68	982	0	0
jump_stand_12	86	909	140	974	0	0
jump_stand_13	7	844	66	887	0	0
jump_moving_01	9	703	50	745	0	0
jump_moving_02	65	681	110	757	0	0
jump_moving_03	123	684	180	741	0	0
jump_moving_04	198	696	256	738	0	0
jump_moving_05	272	694	333	742	0	0
jump_moving_06	349	690	407	743	0	0
jump_moving_07	418	686	471	744	0	0
jump_moving_08	490	687	540	763	0	0
jump_moving_09	559	717	618	761	0	0
lookup_01	11	496	50	549	0	0
lookup_02	59	490	104	549	0	0
lookup_03	111	491	160	549	0	0
laydown_01	205	500	247	549	0	0
laydown_02	258	509	306	549	0	0
laydown_03	315	519	369	549	0	0
laydown_04	378	516	431	551	0	0
slash_stand_01	5	337	50	388	0	0
slash_stand_02	54	326	105	388	0	0
slash_stand_03	115	314	160	388	0	0
slash_stand_04	171	324	253	388	0	0
slash_stand_05	260	335	311	388	0	0
