frame_name	left	top	right	bottom
normal_01	2	1	39	57
normal_02	46	1	87	57
normal_03	94	1	134	57
normal_04	142	1	186	57
normal_05	196	1	232	57
normal_06	249	1	291	57
normal_07	302	1	346	57
run_01		13	1217	53	1271
run_02		65	1217	108	1271
run_03		119	1217	160	1271
run_04		170	1217	211	1271
run_05		219	1217	271	1271
run_06		278	1217	324	1271
run_07		333	1217	375	1271
run_08		385	1217	426	1271
run_09		439	1217	474	1271
run_10		487	1217	536	1271
run_11		546	1217	601	1271
run_12		610	1217	665	1271
run_13		678	1217	722	1271
jump_stand_01	7	844	66	887
jump_stand_02	74	826	126	888
jump_stand_03	136	827	190	888
jump_stand_04	202	822	256	891
jump_stand_05	268	818	319	892
jump_stand_06	335	827	373	893
jump_stand_07	389	816	424	895
jump_stand_08	447	806	481	899
jump_stand_09	503	808	537	901
jump_stand_10	563	810	597	903
jump_stand_11	14	899	68	982
jump_stand_12	86	909	140	974
jump_stand_13	7	844	66	887
jump_moving_01	9	703	50	745
jump_moving_02	65	681	110	757
jump_moving_03	123	684	180	741
jump_moving_04	198	696	256	738
jump_moving_05	272	694	333	742
jump_moving_06	349	690	407	743
jump_moving_07	418	686	471	744
jump_moving_08	490	687	540	763
jump_moving_09	559	717	618	761
lookup_01	11	496	50	549
lookup_02	59	490	104	549
lookup_03	111	491	160	549
laydown_01	205	500	247	549
laydown_02	258	509	306	549
laydown_03	315	519	369	549
laydown_04	378	516	431	551	
slash_stand_01	5	337	50	388
slash_stand_02	54	326	105	388
slash_stand_03	115	314	160	388
slash_stand_04	171	324	253	388
slash_stand_05	260	335	311	388
slash_jump_01	13	1077	65	1131
slash_jump_02	75	1075	125	1127
slash_jump_03	140	1067	187	1133
slash_jump_04	199	1078	251	1134
slash_jump_05	266	1079	349	1130
slash_jump_06	361	1087	408	1142
slash_laydown_01	9	640	56	673
slash_laydown_02	64	642	109	673
slash_laydown_03	115	640	186	673
slash_laydown_04	193	639	285	673
slash_laydown_05	298	640	382	673
slash_laydown_06	392	640	463	673
slash_laydown_07	475	642	520	673
climb_vertical_01	11	1362	40	1448
climb_vertical_02	53	1361	81	1450
climb_vertical_03	94	1374	122	1448
climb_vertical_04	133	1377	175	1439
climb_vertical_05	186	1363	217	1439
climb_vertical_06	231	1358	260	1444
climb_vertical_07	274	1367	302	1446
climb_vertical_08	314	1377	346	1440
climb_vertical_09	356	1377	398	1439
climb_vertical_10	406	1362	434	1443
boring_01	6	83	46	135	
boring_02	51	81	112	134
boring_03	116	80	178	134
boring_04	180	81	221	134
boring_05	228	81	267	134
boring_06	275	81	311	134
boring_07	319	81	359	134
boring_08	366	79	407	134
boring_09	417	61	460	134
boring_10	465	57	507	134
boring_11	516	63	558	134
boring_12	568	72	610	134
boring_13	619	80	660	134
boring_14	668	80	708	134
boring_15	715	81	754	134
boring_circus_01	3	165	39	218
boring_circus_02	46	165	86	218
boring_circus_03	91	163	132	218
boring_circus_04	140	155	178	218
boring_circus_05	188	151	229	218
boring_circus_06	238	159	280	217
boring_circus_07	287	168	325	217
boring_circus_08	334	168	373	217
boring_circus_09	378	168	417	217
boring_circus_10	425	156	463	217
boring_circus_11	472	150	510	217
boring_circus_12	519	143	555	217
boring_circus_13	568	138	607	217
boring_circus_14	615	155	657	217
boring_circus_15	666	163	707	217
boring_circus_16	715	163	755	217
boring_circus_17	762	164	801	217
apple_01	373	24	380	31
apple_02	394	23	401	33
apple_03	414	18	434	36
apple_04	444	16	473	38
apple_05	485	14	516	39
apple_06	532	13	562	40
stand_throw_01		7	235	50	291
stand_throw_02		57	232	98	291
stand_throw_03		109	233	147	291
stand_throw_04		163	231	209	291
stand_throw_05		221	233	258	291
stand_throw_06		268	239	307	291
lookup_slash_01	11	420	53	473
lookup_slash_02	66	413	104	473
lookup_slash_03	111	412	179	473
lookup_slash_04	193	415	240	473
lookup_slash_05	249	418	296	472
lookup_slash_06	298	424	352	472
lookup_slash_07	363	401	437	472
lookup_slash_08	452	386	506	472
lookup_slash_09	520	401	569	472
lookup_slash_10	584	405	635	472
lookup_slash_11	644	415	697	472
lookup_slash_12	704	418	750	472
throw_laydown_01	9	571	46	615
throw_laydown_02	58	567	95	615
throw_laydown_03	107	571	157	619
throw_laydown_04	164	578	246	615
throw_laydown_05	256	579	313	616
landing_01		15	901	69	984
landing_02		87	911	141	976
landing_03		145	942	212	979
landing_04		215	949	279	978
landing_05		288	950	356	980
landing_06		366	948	442	982
landing_07		451	935	537	982
landing_08		549	928	635	983
landing_09		644	925	740	986
landing_10		748	925	844	986
landing_11		853	926	955	986
landing_12		968	928	1070	978
tumble_01	12	1154	61	1208	
tumble_02	76	1162	113	1194
tumble_03	135	1160	170	1194
tumble_04	190	1160	228	1200
tumble_05	252	1165	290	1196	
tumble_06	306	1158	343	1196
tumble_07	362	1161	401	1196
tumble_08	417	1156	460	1198
braking_01		11	1293	68	1350
braking_02		83	1294	127	1350
braking_03		134	1284	185	1350
braking_04		200	1283	246	1348
braking_05		256	1285	298	1349	
braking_06		309	1306	364	1352
braking_07		376	1308	428	1352	
braking_08		437	1300	483	1352
braking_09		498	1294	549	1351
climb_horizon_01	10	1467	50	1545
climb_horizon_02	57	1469	111	1541
climb_horizon_03	120	1470	172	1547
climb_horizon_04	191	1470	235	1550
climb_horizon_05	258	1468	294	1551
climb_horizon_06	311	1468	354	1551
climb_horizon_07	366	1471	416	1548
climb_horizon_08	430	1473	487	1553
climb_horizon_09	517	1471	564	1552
climb_horizon_10	586	1473	620	1551
climb_horizon_boring_01		7	1564	56	1652		
climb_horizon_boring_02		65	1564	112	1651
climb_horizon_boring_03		123	1564	164	1652
climb_horizon_boring_04		181	1563	221	1651
climb_horizon_boring_05		236	1562	274	1650
throw_climb_01		13	1666	50	1753
throw_climb_02		65	1666	106	1753
throw_climb_03		125	1665	176	1753
throw_climb_04		192	1664	223	1753
throw_climb_05		236	1664	293	1753
slash_climb_01		15	1769	63	1856
slash_climb_02		81	1769	133	1858
slash_climb_03		146	1760	207	1862
slash_climb_04		222	1773	300	1863
slash_climb_05		327	1773	382	1862
slash_climb_06		400	1775	475	1864
slash_climb_07		499	1775	547	1862
jump_out_01		10	1870	44	1943		
jump_out_02		65	1873	90	1950	
jump_out_03		100	1874	136	1945
jump_out_04		144	1874	192	1938
jump_out_05		204	1875	263	1929
jump_out_06		281	1876	340	1917
jump_out_07		354	1869	406	1923
jump_out_08		422	1871	469	1938
jump_out_09		482	1866	527	1941
push_01		7	1959	63	2005
push_02		75	1961	140	2005
push_03		157	1961	227	2006
push_04		237	1962	314	2006
push_05		327	1964	399	2008
push_06		416	1965	482	2009
push_07		495	1965	570	2009
push_08		585	1966	666	2010
push_09		681	1968	756	2012
burnedaa_01		10	2029	64	2091
burnedaa_02		82	2033	132	2096
burnedaa_03		150	2035	195	2095
burnedaa_04		211	2038	261	2097
burnedaa_05		272	2041	328	2095
burnedaa_06		341	2042	400	2101
burnedaa_07		416	2034	474	2103
burnedaa_08		488	2034	543	2104
unknown_twentysixth_01		9	2111	61	2149
unknown_twentysixth_02		68	2110	120	2149
unknown_twentysixth_03		129	2110	181	2149
unknown_twentysixth_04		190	2111	242	2149
unknown_twentysixth_05		259	2126	322	2148
unknown_twentysixth_06		333	2107	388	2149
burned_01	9	2167	51	2213
burned_02	58	2161	113	2213
burned_03	122	2162	181	2212
burned_04	189	2163	269	2211
burned_05	282	2160	343	2211	
burned_06	351	2161	410	2210
die_01		1	2234	81	2282
die_02		87	2231	148	2282
die_03		160	2224	205	2282
die_04		213	2224	258	2282
die_05		264	2231	303	2281
die_06		312	2230	352	2281
die_07		361	2230	396	2281
die_08		407	2230	443	2281
die_09		454	2232	493	2281
die_10		505	2227	549	2283
die_11		560	2228	601	2281
die_12		614	2232	653	2282
die_13		661	2232	701	2283
care_01		2	2335	39	2386
care_02		49	2329	86	2386
care_03		97	2331	140	2386
care_04		148	2333	209	2386
care_05		223	2336	284	2387
care_06		296	2310	372	2393
care_07		383	2309	460	2394
care_08		476	2309	551	2394
care_09		567	2311	635	2394
care_10		654	2313	720	2394
care_11		734	2321	800	2395
care_12		811	2323	877	2397
care_13		888	2323	954	2397
care_14		970	2325	1036	2399
care_15		1049	2325	1115	2399
revive_01	2	2472	66	2541
revive_02	79	2475	135	2541
revive_03	143	2508	163	2541
revive_04	173	2503	196	2541	
revive_05	205	2495	230	2541
revive_06	243	2483	270	2541
revive_07	278	2474	316	2541
revive_08	333	2460	370	2541
revive_09	382	2460	424	2544
revive_10	442	2454	495	2541
revive_11	510	2441	553	2541
revive_12	563	2426	613	2541
revive_13	623	2407	668	2541
revive_14	682	2400	722	2541
jealous_01		3	2565	47	2627
jealous_02		60	2566	109	2625
jealous_03		123	2566	158	2623	
jealous_04		166	2565	206	2626
jealous_05		215	2567	251	2627
jealous_06		263	2564	301	2627
jealous_07		310	2565	358	2624
jealous_08		372	2564	409	2625
fly_jasmine_01	9	2654	60	2684
fly_jasmine_02	68	2653	118	2683
fly_jasmine_03	128	2654	179	2683
fly_jasmine_04	189	2653	240	2683
fly_jasmine_05	251	2653	302	2683
kiss_jasmine_01		333	2643	380	2703
kiss_jasmine_02		388	2644	435	2704
kiss_jasmine_03		441	2645	486	2705
kiss_jasmine_04		493	2646	538	2706
kiss_jasmine_05		548	2648	593	2707
kiss_jasmine_06		603	2650	645	2708
kiss_jasmine_07		654	2653	703	2709
kiss_jasmine_08		715	2653	764	2710
kiss_jasmine_09		773	2655	822	2712
kiss_jasmine_10		830	2656	880	2712

