name			left	top	width	height
annotation_picture	2	198	320	219
annotation_text		8	17	296	178
apple			341	16	11	14
GenieLamp		369	14	32	19
GenieFace_1		335	44	38	53
GenieFace_2		389	44	43	55
GenieFace_3		443	48	44	47
GenieFace_4		497	47	45	47
jewel_1			340	110	17	19	
jewel_2			363	110	17	19
jewel_3			386	110	17	19
jewel_4			409	110	17	19
jewel_5			432	109	17	20
jewel_6			454	104	32	28
jewel_7			492	107	23	23
jewel_8			522	111	17	19
jewel_9			545	111	17	19
AladdinFace		340	139	22	27
BlueHeart_1		343	170	19	27
BlueHeart_2		366	172	17	26
BlueHeart_3		387	174	16	24
BlueHeart_4		406	174	17	24
BlueHeart_5		426	172	19	26
BlueHeart_6		448	173	17	26
BlueHeart_7		467	175	16	24
BlueHeart_8		486	175	17	24
AbuFace_1		345	212	19	22
AbuFace_2		368	212	19	22
AbuFace_3		391	210	19	24
AbuFace_4		415	208	19	26
AbuFace_5		440	208	19	26
AbuFace_6		462	203	32	31
AbuFace_7		499	204	32	31
AbuFace_8		542	206	22	29
AbuFace_9		570	206	22	29
AbuFace_10		596	212	19	23
vase_1			19	423	20	36
vase_2			49	427	24	32
vase_3			78	437	34	22
vase_4			119	424	20	37
vase_5			145	424	23	37
vase_6			174	425	26	36
vase_7			207	425	24	37
vase_8			239	426	20	37
vase_9			270	427	24	36
vase_10			302	428	23	36
